id;invoice_number;amount_paid;payment_date;next_payment_date;out_standing_amount;mode_of_payment;cheque_number;demand_draft_number;online_txn_ref_number;payment_status;comments;updated_by;bank;updated_on;academic_year_id;branch_id;department_id;student_id
1;Handmade Unbranded;84043;2020-05-06;2020-05-06;45083;Concrete;98484;16552;yellow programming strategy;Czech Republic;Investment Account streamline;sticky neural Kids;Cotton relationships;2020-05-06;91985;92296;34634;46570
2;Rue District;58706;2020-05-07;2020-05-07;45243;Concrete Towels Avon;41892;3387;frame multi-byte modular;Electronics;Bedfordshire Strategist;Towels applications;Zimbabwe;2020-05-07;50219;29959;59538;30993
3;scale;42678;2020-05-07;2020-05-06;89805;turquoise orchid;3654;37772;generating Arkansas;synthesize;Macedonia Japan;target Rhode Island;Intelligent;2020-05-07;86178;7550;94611;75324
4;didactic Dynamic;52657;2020-05-06;2020-05-06;2538;Pizza bus withdrawal;2709;55172;Enterprise-wide;Moldovan Leu;Checking Account;multi-byte Salad;Idaho bandwidth;2020-05-06;24317;98872;72226;60319
5;neural Markets Branding;14108;2020-05-07;2020-05-06;29314;Senior;1300;63324;microchip;Music Salad North Carolina;circuit Forward;frictionless solution-oriented;distributed Computers;2020-05-06;62414;34519;40941;77383
6;magnetic SQL;21951;2020-05-06;2020-05-06;76360;Wooden COM Cambridgeshire;89455;47106;Table Avon Bedfordshire;Peru withdrawal Down-sized;invoice;Liaison Tonga;Lari;2020-05-06;1839;82258;91429;52966
7;generating;49809;2020-05-07;2020-05-07;55417;withdrawal calculating;20642;10657;Wooden;Future;pixel Phased payment;Towels Internal;seize generate;2020-05-06;4696;35387;16628;95862
8;Car Generic compress;6824;2020-05-06;2020-05-06;28869;ubiquitous monitor;29712;61040;Applications reintermediate;Research sensor black;Equatorial Guinea;Auto Loan Account;indexing;2020-05-06;59684;15467;33424;62333
9;Course robust bricks-and-clicks;41279;2020-05-06;2020-05-06;68840;vortals Centralized;81910;7776;Clothing Engineer Toys;granular;solid state;Soft Quality Mount;Awesome;2020-05-06;87294;75839;73222;63894
10;calculate feed invoice;98057;2020-05-07;2020-05-06;48942;magenta Associate;94405;66991;Handcrafted Rubber Sausages;Towels Mississippi Product;Metal;complexity Direct Administrator;online program Refined Granite Gloves;2020-05-06;82891;64454;3700;65016
