id;is_auto_remainder;is_first_payment_remainder;first_payment_remainder_days;is_second_payment_remainder;second_payment_remainder_days;is_over_due_payment_remainder;over_due_payment_remainder_after_due_date_or_until_paid;over_due_payment_remainder_days;is_remainder_recipients;remainder_recipients;branch_id
1;magenta heuristic;Credit Card Account Maryland Legacy;4544;web-enabled Brand Regional;45565;Money Market Account;Mouse;64684;facilitate Persevering;Fantastic;97439
2;Architect;Beauty dynamic schemas;60278;clear-thinking Frozen Licensed;94053;models New Mexico District;Accountability;86606;Rustic Steel Shirt drive;Ways Liaison engage;74957
3;redefine transmitting;bypassing Bypass;41481;24/7;5637;SMS;Zimbabwe parse Customer;58514;capacitor program enhance;Falls;12915
4;Response;white SMTP;75699;Fantastic Concrete Computer Baby;49816;Springs connecting;SAS;55190;California PNG engage;Burg;42053
5;bluetooth payment digital;Rubber Industrial seamless;58991;mesh partnerships;90415;real-time Berkshire solid state;middleware Switzerland;69764;back-end Via indexing;Business-focused Canyon Orchestrator;49261
6;concept payment;robust;53726;Creek;58476;enable;deposit Chicken best-of-breed;89678;Mission Rand Soap;Automated;82179
7;B2B;Chair Awesome;12063;Island cyan;36426;Bedfordshire;alliance Licensed Plaza;68778;Cambridgeshire;Regional;6107
8;systemic;Handmade Savings Account Manager;53659;Central Polarised;75995;Kiribati monitor;Games;25243;feed;connecting generate Music;86721
9;back-end enhance;optimal;37728;Toys;32207;blue internet solution Concrete;distributed Ranch impactful;64882;Club Nebraska;Nevada quantify architectures;12758
10;encompassing customized;Home Loan Account Grass-roots;49824;methodology Integration Music;22533;24/7;Pizza blue;28509;Car Internal Small;Grocery Rand Namibia Dollar;99725
